"","date","GS10","NROU","TB3MS","UNRATE","NROU2","UGAP2","up","down","up2","down2"
"1",1954-01-01,2.48,5.37,1.18,4.9,5.37,-0.47,5.37,4.9,1.3,0
"2",1954-02-01,2.47,NA,0.97,5.2,5.37,-0.17,5.37,5.2,1.5,0
"3",1954-03-01,2.37,NA,1.03,5.7,5.37,0.33,5.7,5.37,1.34,0
"4",1954-04-01,2.29,5.37,0.97,5.9,5.37,0.53,5.9,5.37,1.32,0
"5",1954-05-01,2.37,NA,0.76,5.9,5.37,0.53,5.9,5.37,1.61,0
"6",1954-06-01,2.38,NA,0.64,5.6,5.37,0.23,5.6,5.37,1.74,0
"7",1954-07-01,2.3,5.38,0.72,5.8,5.38,0.42,5.8,5.38,1.58,0
"8",1954-08-01,2.36,NA,0.92,6,5.38,0.62,6,5.38,1.44,0
"9",1954-09-01,2.38,NA,1.01,6.1,5.38,0.72,6.1,5.38,1.37,0
"10",1954-10-01,2.43,5.38,0.98,5.7,5.38,0.32,5.7,5.38,1.45,0
"11",1954-11-01,2.48,NA,0.93,5.3,5.38,-0.0800000000000001,5.38,5.3,1.55,0
"12",1954-12-01,2.51,NA,1.15,5,5.38,-0.38,5.38,5,1.36,0
"13",1955-01-01,2.61,5.38,1.22,4.9,5.38,-0.48,5.38,4.9,1.39,0
"14",1955-02-01,2.65,NA,1.17,4.7,5.38,-0.68,5.38,4.7,1.48,0
"15",1955-03-01,2.68,NA,1.28,4.6,5.38,-0.78,5.38,4.6,1.4,0
"16",1955-04-01,2.75,5.38,1.59,4.7,5.38,-0.68,5.38,4.7,1.16,0
"17",1955-05-01,2.76,NA,1.45,4.3,5.38,-1.08,5.38,4.3,1.31,0
"18",1955-06-01,2.78,NA,1.41,4.2,5.38,-1.18,5.38,4.2,1.37,0
"19",1955-07-01,2.9,5.39,1.6,4,5.39,-1.39,5.39,4,1.3,0
"20",1955-08-01,2.97,NA,1.9,4.2,5.39,-1.19,5.39,4.2,1.07,0
"21",1955-09-01,2.97,NA,2.07,4.1,5.39,-1.29,5.39,4.1,0.9,0
"22",1955-10-01,2.88,5.39,2.23,4.3,5.39,-1.09,5.39,4.3,0.65,0
"23",1955-11-01,2.89,NA,2.24,4.2,5.39,-1.19,5.39,4.2,0.65,0
"24",1955-12-01,2.96,NA,2.54,4.2,5.39,-1.19,5.39,4.2,0.42,0
"25",1956-01-01,2.9,5.39,2.41,4,5.39,-1.39,5.39,4,0.49,0
"26",1956-02-01,2.84,NA,2.32,3.9,5.39,-1.49,5.39,3.9,0.52,0
"27",1956-03-01,2.96,NA,2.25,4.2,5.39,-1.19,5.39,4.2,0.71,0
"28",1956-04-01,3.18,5.39,2.6,4,5.39,-1.39,5.39,4,0.58,0
"29",1956-05-01,3.07,NA,2.61,4.3,5.39,-1.09,5.39,4.3,0.46,0
"30",1956-06-01,3,NA,2.49,4.3,5.39,-1.09,5.39,4.3,0.51,0
"31",1956-07-01,3.11,5.4,2.31,4.4,5.4,-1,5.4,4.4,0.8,0
"32",1956-08-01,3.33,NA,2.6,4.1,5.4,-1.3,5.4,4.1,0.73,0
"33",1956-09-01,3.38,NA,2.84,3.9,5.4,-1.5,5.4,3.9,0.54,0
"34",1956-10-01,3.34,5.4,2.9,3.9,5.4,-1.5,5.4,3.9,0.44,0
"35",1956-11-01,3.49,NA,2.99,4.3,5.4,-1.1,5.4,4.3,0.5,0
"36",1956-12-01,3.59,NA,3.21,4.2,5.4,-1.2,5.4,4.2,0.38,0
"37",1957-01-01,3.46,5.4,3.11,4.2,5.4,-1.2,5.4,4.2,0.35,0
"38",1957-02-01,3.34,NA,3.1,3.9,5.4,-1.5,5.4,3.9,0.24,0
"39",1957-03-01,3.41,NA,3.08,3.7,5.4,-1.7,5.4,3.7,0.33,0
"40",1957-04-01,3.48,5.4,3.07,3.9,5.4,-1.5,5.4,3.9,0.41,0
"41",1957-05-01,3.6,NA,3.06,4.1,5.4,-1.3,5.4,4.1,0.54,0
"42",1957-06-01,3.8,NA,3.29,4.3,5.4,-1.1,5.4,4.3,0.51,0
"43",1957-07-01,3.93,5.41,3.16,4.2,5.41,-1.21,5.41,4.2,0.77,0
"44",1957-08-01,3.93,NA,3.37,4.1,5.41,-1.31,5.41,4.1,0.56,0
"45",1957-09-01,3.92,NA,3.53,4.4,5.41,-1.01,5.41,4.4,0.39,0
"46",1957-10-01,3.97,5.41,3.58,4.5,5.41,-0.91,5.41,4.5,0.39,0
"47",1957-11-01,3.72,NA,3.31,5.1,5.41,-0.31,5.41,5.1,0.41,0
"48",1957-12-01,3.21,NA,3.04,5.2,5.41,-0.21,5.41,5.2,0.17,0
"49",1958-01-01,3.09,5.41,2.44,5.8,5.41,0.39,5.8,5.41,0.65,0
"50",1958-02-01,3.05,NA,1.53,6.4,5.41,0.99,6.4,5.41,1.52,0
"51",1958-03-01,2.98,NA,1.3,6.7,5.41,1.29,6.7,5.41,1.68,0
"52",1958-04-01,2.88,5.42,1.13,7.4,5.42,1.98,7.4,5.42,1.75,0
"53",1958-05-01,2.92,NA,0.91,7.4,5.42,1.98,7.4,5.42,2.01,0
"54",1958-06-01,2.97,NA,0.83,7.3,5.42,1.88,7.3,5.42,2.14,0
"55",1958-07-01,3.2,5.42,0.91,7.5,5.42,2.08,7.5,5.42,2.29,0
"56",1958-08-01,3.54,NA,1.69,7.4,5.42,1.98,7.4,5.42,1.85,0
"57",1958-09-01,3.76,NA,2.44,7.1,5.42,1.68,7.1,5.42,1.32,0
"58",1958-10-01,3.8,5.43,2.63,6.7,5.43,1.27,6.7,5.43,1.17,0
"59",1958-11-01,3.74,NA,2.67,6.2,5.43,0.77,6.2,5.43,1.07,0
"60",1958-12-01,3.86,NA,2.77,6.2,5.43,0.77,6.2,5.43,1.09,0
"61",1959-01-01,4.02,5.43,2.82,6,5.43,0.57,6,5.43,1.2,0
"62",1959-02-01,3.96,NA,2.7,5.9,5.43,0.470000000000001,5.9,5.43,1.26,0
"63",1959-03-01,3.99,NA,2.8,5.6,5.43,0.17,5.6,5.43,1.19,0
"64",1959-04-01,4.12,5.44,2.95,5.2,5.44,-0.24,5.44,5.2,1.17,0
"65",1959-05-01,4.31,NA,2.84,5.1,5.44,-0.340000000000001,5.44,5.1,1.47,0
"66",1959-06-01,4.34,NA,3.21,5,5.44,-0.44,5.44,5,1.13,0
"67",1959-07-01,4.4,5.44,3.2,5.1,5.44,-0.340000000000001,5.44,5.1,1.2,0
"68",1959-08-01,4.43,NA,3.38,5.2,5.44,-0.24,5.44,5.2,1.05,0
"69",1959-09-01,4.68,NA,4.04,5.5,5.44,0.0599999999999996,5.5,5.44,0.64,0
"70",1959-10-01,4.53,5.45,4.05,5.7,5.45,0.25,5.7,5.45,0.48,0
