index,household,2017,2012,2007
1,"Less than $10,000",0.065 ,0.077 ,0.073 
2,"$10,000 to $14,999",0.045 ,0.056 ,0.056 
3,"$15,000 to $24,999",0.093 ,0.111 ,0.110 
4,"$25,000 to $34,999",0.091 ,0.104 ,0.107 
5,"$35,000 to $49,999",0.127 ,0.138 ,0.145 
6,"$50,000 to $74,999",0.176 ,0.180 ,0.189 
7,"$75,000 to $99,999",0.125 ,0.119 ,0.122 
8,"$100,000 to $149,999",0.146 ,0.124 ,0.117 
9,"$150,000 to $199,999",0.063 ,0.046 ,0.040 
10,"$200,000 or more",0.069 ,0.046 ,0.040 
,,,,
,,,,
,,,,
,,,,
