FIPS,State,Area_Name,POP_ESTIMATE_2016,R_birth_2016,R_death_2016,R_NATURAL_INC_2016
01001,AL,Autauga County,"55,416",11.4,8.9,2.5
01003,AL,Baldwin County,"208,563",11.0,10.3,0.8
01005,AL,Barbour County,"25,965",9.7,12.0,-2.3
01007,AL,Bibb County,"22,643",11.8,10.5,1.3
01009,AL,Blount County,"57,704",11.5,10.8,0.7
01011,AL,Bullock County,"10,362",11.0,10.7,0.3
01013,AL,Butler County,"19,998",11.8,12.0,-0.2
01015,AL,Calhoun County,"114,611",10.8,12.5,-1.8
01017,AL,Chambers County,"33,843",12.3,14.0,-1.7
01019,AL,Cherokee County,"25,725",8.1,12.9,-4.8
01021,AL,Chilton County,"43,941",12.3,11.0,1.3
01023,AL,Choctaw County,"12,993",10.6,13.0,-2.4
01025,AL,Clarke County,"24,392",12.1,12.7,-0.7
01027,AL,Clay County,"13,492",10.1,15.0,-4.9
01029,AL,Cleburne County,"14,924",11.4,13.5,-2.1
01031,AL,Coffee County,"51,226",11.8,10.5,1.3
01033,AL,Colbert County,"54,216",10.7,12.2,-1.5
01035,AL,Conecuh County,"12,395",9.2,15.3,-6.1
01037,AL,Coosa County,"10,581",8.6,9.5,-0.9
01039,AL,Covington County,"37,458",11.7,13.8,-2.1
01041,AL,Crenshaw County,"13,913",10.4,13.9,-3.5
01043,AL,Cullman County,"82,471",12.1,12.3,-0.1
01045,AL,Dale County,"49,226",12.9,11.0,1.9
01047,AL,Dallas County,"40,008",11.5,13.5,-2.0
01049,AL,DeKalb County,"70,900",11.2,10.9,0.4
01051,AL,Elmore County,"81,799",12.0,9.7,2.3
01053,AL,Escambia County,"37,728",11.6,12.1,-0.5
01055,AL,Etowah County,"102,564",11.2,14.6,-3.4
01057,AL,Fayette County,"16,546",10.2,14.1,-3.8
01059,AL,Franklin County,"31,628",11.5,12.0,-0.5
01061,AL,Geneva County,"26,614",10.6,13.4,-2.8
01063,AL,Greene County,"8,422",11.7,10.8,0.9
01065,AL,Hale County,"14,952",15.1,13.1,1.9
01067,AL,Henry County,"17,164",9.7,12.2,-2.5
01069,AL,Houston County,"104,056",12.3,10.8,1.5
01071,AL,Jackson County,"52,138",9.9,12.8,-2.9
01073,AL,Jefferson County,"659,521",13.3,11.0,2.3
01075,AL,Lamar County,"13,918",9.7,14.2,-4.5
01077,AL,Lauderdale County,"92,318",10.2,11.9,-1.7
01079,AL,Lawrence County,"33,244",11.4,12.3,-0.8
01081,AL,Lee County,"158,991",12.1,6.7,5.4
01083,AL,Limestone County,"92,753",11.0,8.5,2.5
01085,AL,Lowndes County,"10,358",11.8,14.2,-2.4
01087,AL,Macon County,"18,963",9.7,14.1,-4.3
01089,AL,Madison County,"356,967",12.0,8.6,3.3
01091,AL,Marengo County,"19,673",11.6,13.5,-1.9
01093,AL,Marion County,"29,998",9.7,13.4,-3.7
01095,AL,Marshall County,"95,157",13.5,12.1,1.4
01097,AL,Mobile County,"414,836",13.5,10.9,2.6
01099,AL,Monroe County,"21,530",10.6,12.4,-1.8
01101,AL,Montgomery County,"226,349",14.0,9.6,4.4
01103,AL,Morgan County,"119,012",11.2,10.4,0.7
01105,AL,Perry County,"9,574",11.0,14.4,-3.4
01107,AL,Pickens County,"20,324",10.5,12.7,-2.2
01109,AL,Pike County,"33,286",11.8,10.2,1.6
01111,AL,Randolph County,"22,652",13.0,12.4,0.5
01113,AL,Russell County,"58,172",14.9,10.7,4.2
01115,AL,St. Clair County,"88,019",11.3,10.5,0.8
01117,AL,Shelby County,"210,622",11.4,7.3,4.1
01119,AL,Sumter County,"13,040",12.3,11.6,0.7
01121,AL,Talladega County,"80,103",10.5,13.1,-2.6
01123,AL,Tallapoosa County,"40,727",11.0,13.3,-2.3
01125,AL,Tuscaloosa County,"206,102",12.3,8.8,3.5
01127,AL,Walker County,"64,967",12.2,14.6,-2.3
01129,AL,Washington County,"16,756",11.1,12.3,-1.2
01131,AL,Wilcox County,"10,986",12.7,11.4,1.3
01133,AL,Winston County,"23,805",10.0,13.5,-3.4
02013,AK,Aleutians East Borough,"3,296",4.5,1.8,2.7
02016,AK,Aleutians West Census Area,"5,647",5.3,1.4,3.9
02020,AK,Anchorage Municipality,"298,192",15.3,5.9,9.3
02050,AK,Bethel Census Area,"17,968",24.2,7.9,16.3
02060,AK,Bristol Bay Borough,898,12.3,7.8,4.5
02068,AK,Denali Borough,"1,953",10.3,0.0,10.3
02070,AK,Dillingham Census Area,"4,954",19.5,9.4,10.0
02090,AK,Fairbanks North Star Borough,"100,605",16.7,4.7,12.0
02100,AK,Haines Borough,"2,496",6.4,2.4,4.0
02105,AK,Hoonah-Angoon Census Area,"2,078",8.6,7.1,1.4
02110,AK,Juneau City and Borough,"32,468",12.0,5.4,6.6
02122,AK,Kenai Peninsula Borough,"58,506",12.4,8.3,4.1
02130,AK,Ketchikan Gateway Borough,"13,746",12.2,5.5,6.7
02150,AK,Kodiak Island Borough,"13,732",16.2,3.6,12.6
02158,AK,Kusilvak Census Area,"8,049",26.5,12.0,14.5
02164,AK,Lake and Peninsula Borough,"1,562",18.5,10.9,7.7
02170,AK,Matanuska-Susitna Borough,"104,365",14.7,5.6,9.2
02180,AK,Nome Census Area,"9,917",21.7,9.7,12.0
02185,AK,North Slope Borough,"9,606",16.7,6.8,9.8
02188,AK,Northwest Arctic Borough,"7,673",23.2,10.9,12.3
02195,AK,Petersburg Borough,"3,149",11.4,7.6,3.8
02198,AK,Prince of Wales-Hyder Census Area,"6,347",11.8,7.2,4.6
02220,AK,Sitka City and Borough,"8,830",8.6,5.8,2.8
02230,AK,Skagway Municipality,"1,088",11.2,11.2,0.0
02240,AK,Southeast Fairbanks Census Area,"6,876",15.6,5.0,10.7
02261,AK,Valdez-Cordova Census Area,"9,355",14.1,5.0,9.1
02275,AK,Wrangell City and Borough,"2,411",10.0,12.1,-2.1
02282,AK,Yakutat City and Borough,601,16.4,0.0,16.4
02290,AK,Yukon-Koyukuk Census Area,"5,526",15.5,13.4,2.2
04001,AZ,Apache County,"73,112",13.9,9.4,4.5
04003,AZ,Cochise County,"125,770",12.5,10.2,2.4
04005,AZ,Coconino County,"140,908",12.0,6.2,5.8
04007,AZ,Gila County,"53,556",11.5,15.6,-4.1
04009,AZ,Graham County,"37,599",15.4,7.2,8.3
04011,AZ,Greenlee County,"9,613",15.9,5.3,10.6
04012,AZ,La Paz County,"20,317",10.1,12.9,-2.8
04013,AZ,Maricopa County,"4,242,997",13.3,7.3,6.1
04015,AZ,Mohave County,"205,249",9.2,15.1,-6.0
04017,AZ,Navajo County,"110,026",14.3,9.0,5.3
04019,AZ,Pima County,"1,016,206",11.6,9.7,2.0
04021,AZ,Pinal County,"418,540",11.0,7.3,3.7
04023,AZ,Santa Cruz County,"45,985",13.0,7.0,6.1
04025,AZ,Yavapai County,"225,562",8.7,12.9,-4.2
04027,AZ,Yuma County,"205,631",14.6,7.6,7.0
05001,AR,Arkansas County,"18,214",12.7,12.3,0.4
05003,AR,Ashley County,"20,492",11.5,12.7,-1.3
05005,AR,Baxter County,"41,062",9.1,16.6,-7.5
05007,AR,Benton County,"258,291",14.3,6.8,7.5
05009,AR,Boone County,"37,304",11.7,12.3,-0.6
05011,AR,Bradley County,"10,996",11.4,12.2,-0.8
05013,AR,Calhoun County,"5,144",9.1,9.3,-0.2
05015,AR,Carroll County,"27,646",11.2,11.0,0.2
05017,AR,Chicot County,"10,945",11.4,14.0,-2.6
05019,AR,Clark County,"22,657",10.8,10.9,-0.1
05021,AR,Clay County,"14,920",11.0,14.5,-3.5
05023,AR,Cleburne County,"25,264",8.9,14.7,-5.8
05025,AR,Cleveland County,"8,241",8.7,10.5,-1.8
05027,AR,Columbia County,"23,901",12.5,12.3,0.2
05029,AR,Conway County,"20,937",11.6,11.0,0.7
05031,AR,Craighead County,"105,835",14.5,9.0,5.6
05033,AR,Crawford County,"62,267",12.5,10.0,2.5
05035,AR,Crittenden County,"49,235",16.1,10.1,6.0
05037,AR,Cross County,"17,037",12.6,12.1,0.5
05039,AR,Dallas County,"7,469",9.0,11.2,-2.1
05041,AR,Desha County,"11,876",12.6,14.6,-2.0
05043,AR,Drew County,"18,651",13.6,10.6,2.9
05045,AR,Faulkner County,"122,227",12.4,7.3,5.1
05047,AR,Franklin County,"17,626",11.7,11.3,0.4
05049,AR,Fulton County,"12,123",9.1,15.6,-6.5
05051,AR,Garland County,"97,477",11.0,13.6,-2.6
05053,AR,Grant County,"18,082",10.4,9.4,1.1
05055,AR,Greene County,"44,598",12.9,11.0,1.9
05057,AR,Hempstead County,"21,974",14.5,10.1,4.4
05059,AR,Hot Spring County,"33,374",10.2,11.4,-1.3
