FIPStxt,State,Area_name,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016
1001,AL,"Autauga County, AL","25,649","24,297","1,352",5.3
1003,AL,"Baldwin County, AL","89,931","85,061","4,870",5.4
1005,AL,"Barbour County, AL","8,302","7,584",718,8.6
1007,AL,"Bibb County, AL","8,573","8,004",569,6.6
1009,AL,"Blount County, AL","24,525","23,171","1,354",5.5
1011,AL,"Bullock County, AL","4,811","4,466",345,7.2
1013,AL,"Butler County, AL","9,132","8,481",651,7.1
1015,AL,"Calhoun County, AL","45,794","42,727","3,067",6.7
1017,AL,"Chambers County, AL","15,134","14,295",839,5.5
1019,AL,"Cherokee County, AL","11,163","10,581",582,5.2
1021,AL,"Chilton County, AL","19,153","18,077","1,076",5.6
1023,AL,"Choctaw County, AL","4,300","3,918",382,8.9
1025,AL,"Clarke County, AL","8,011","7,118",893,11.1
1027,AL,"Clay County, AL","5,558","5,216",342,6.2
1029,AL,"Cleburne County, AL","5,831","5,476",355,6.1
1031,AL,"Coffee County, AL","20,402","19,167","1,235",6.1
1033,AL,"Colbert County, AL","23,707","22,045","1,662",7
1035,AL,"Conecuh County, AL","4,593","4,197",396,8.6
1037,AL,"Coosa County, AL","4,444","4,171",273,6.1
1039,AL,"Covington County, AL","15,392","14,315","1,077",7
1041,AL,"Crenshaw County, AL","6,451","6,063",388,6
1043,AL,"Cullman County, AL","37,715","35,792","1,923",5.1
1045,AL,"Dale County, AL","20,078","18,890","1,188",5.9
1047,AL,"Dallas County, AL","15,530","14,071","1,459",9.4
1049,AL,"DeKalb County, AL","29,016","27,216","1,800",6.2
1051,AL,"Elmore County, AL","36,726","34,917","1,809",4.9
1053,AL,"Escambia County, AL","14,633","13,648",985,6.7
1055,AL,"Etowah County, AL","43,887","41,269","2,618",6
1057,AL,"Fayette County, AL","6,543","6,087",456,7
1059,AL,"Franklin County, AL","13,723","12,886",837,6.1
1061,AL,"Geneva County, AL","10,905","10,263",642,5.9
1063,AL,"Greene County, AL","2,893","2,600",293,10.1
1065,AL,"Hale County, AL","6,050","5,579",471,7.8
1067,AL,"Henry County, AL","6,762","6,316",446,6.6
1069,AL,"Houston County, AL","44,718","42,089","2,629",5.9
1071,AL,"Jackson County, AL","23,636","22,117","1,519",6.4
1073,AL,"Jefferson County, AL","310,908","292,697","18,211",5.9
1075,AL,"Lamar County, AL","5,708","5,383",325,5.7
1077,AL,"Lauderdale County, AL","43,009","40,246","2,763",6.4
1079,AL,"Lawrence County, AL","13,729","12,763",966,7
1081,AL,"Lee County, AL","72,893","69,066","3,827",5.3
1083,AL,"Limestone County, AL","40,575","38,424","2,151",5.3
1085,AL,"Lowndes County, AL","3,803","3,394",409,10.8
1087,AL,"Macon County, AL","7,981","7,364",617,7.7
1089,AL,"Madison County, AL","173,295","164,279","9,016",5.2
1091,AL,"Marengo County, AL","7,640","7,072",568,7.4
1093,AL,"Marion County, AL","12,586","11,741",845,6.7
1095,AL,"Marshall County, AL","41,255","38,994","2,261",5.5
1097,AL,"Mobile County, AL","185,092","172,376","12,716",6.9
