TIME,JPN,USA,CHN
1980,8730.1488,12547.12681,310.888887
1981,9850.164871,13943.17589,349.804878
1982,10752.39999,14399.35319,396.546891
1983,11496.07438,15508.00784,450.661526
1984,12327.56507,17080.01472,530.792693
1985,13339.0844,18192.3264,613.120607
1986,13967.6639,19027.64632,670.71929
1987,14922.90057,19993.22608,755.166158
1988,16473.27073,21367.89616,856.157382
1989,17857.56359,22804.67446,912.766673
1990,19424.8855,23835.31923,979.540202
1991,20740.33496,24289.54759,1091.982948
1992,21329.45475,25378.62464,1260.976258
1993,21687.57564,26350.49293,1453.310677
1994,22370.82071,27660.26836,1659.301582
1995,23403.78458,28657.51272,1859.657697
1996,24516.03069,29932.15777,2060.044732
1997,25144.05417,31424.43893,2265.814158
1998,25062.80956,32817.982,2447.447264
1999,25334.51015,34477.97213,2653.629089
2000,26841.4079,36304.60202,2922.24071
2001,27499.36187,37099.9106,3215.673402
2002,28170.05438,37979.60793,3540.244645
2003,28940.63109,39426.08714,3949.41122
2004,30368.2328,41647.84391,4442.164082
2005,31667.91436,44043.73414,5077.604522
2006,33103.05265,46230.8462,5868.232542
2007,34507.89646,47902.06035,6846.293562
2008,34803.65781,48311.2237,7615.727028
2009,33196.05004,47028.1604,8354.100768
2010,35007.70177,48393.6164,9310.817148
2011,35775.25633,49800.32554,10359.54996
2012,37213.8374,51521.45852,11323.02135
2013,39008.36056,53016.2888,12337.60767
2014,39183.46568,54935.20048,13405.0261
2015,40727.25449,56700.88042,14412.53121
2016,42292.68131,57797.46221,15477.98083
