DATE,FEDFUNDS
1984/10/1,9.99
1984/11/1,9.43
1984/12/1,8.38
1985/1/1,8.35
1985/2/1,8.5
1985/3/1,8.58
1985/4/1,8.27
1985/5/1,7.97
1985/6/1,7.53
1985/7/1,7.88
1985/8/1,7.9
1985/9/1,7.92
1985/10/1,7.99
1985/11/1,8.05
1985/12/1,8.27
1986/1/1,8.14
1986/2/1,7.86
1986/3/1,7.48
1986/4/1,6.99
1986/5/1,6.85
1986/6/1,6.92
1986/7/1,6.56
1986/8/1,6.17
1986/9/1,5.89
1986/10/1,5.85
1986/11/1,6.04
1986/12/1,6.91
1987/1/1,6.43
1987/2/1,6.1
1987/3/1,6.13
1987/4/1,6.37
1987/5/1,6.85
1987/6/1,6.73
1987/7/1,6.58
1987/8/1,6.73
1987/9/1,7.22
1987/10/1,7.29
1987/11/1,6.69
1987/12/1,6.77
1988/1/1,6.83
1988/2/1,6.58
1988/3/1,6.58
1988/4/1,6.87
1988/5/1,7.09
1988/6/1,7.51
1988/7/1,7.75
1988/8/1,8.01
1988/9/1,8.19
1988/10/1,8.3
1988/11/1,8.35
1988/12/1,8.76
1989/1/1,9.12
1989/2/1,9.36
1989/3/1,9.85
1989/4/1,9.84
1989/5/1,9.81
1989/6/1,9.53
1989/7/1,9.24
1989/8/1,8.99
1989/9/1,9.02
1989/10/1,8.84
1989/11/1,8.55
1989/12/1,8.45
1990/1/1,8.23
1990/2/1,8.24
1990/3/1,8.28
1990/4/1,8.26
1990/5/1,8.18
1990/6/1,8.29
1990/7/1,8.15
1990/8/1,8.13
1990/9/1,8.2
1990/10/1,8.11
1990/11/1,7.81
1990/12/1,7.31
1991/1/1,6.91
1991/2/1,6.25
1991/3/1,6.12
1991/4/1,5.91
1991/5/1,5.78
1991/6/1,5.9
1991/7/1,5.82
1991/8/1,5.66
1991/9/1,5.45
1991/10/1,5.21
1991/11/1,4.81
1991/12/1,4.43
1992/1/1,4.03
1992/2/1,4.06
1992/3/1,3.98
1992/4/1,3.73
1992/5/1,3.82
1992/6/1,3.76
1992/7/1,3.25
1992/8/1,3.3
1992/9/1,3.22
1992/10/1,3.1
1992/11/1,3.09
1992/12/1,2.92
1993/1/1,3.02
1993/2/1,3.03
1993/3/1,3.07
1993/4/1,2.96
1993/5/1,3
1993/6/1,3.04
1993/7/1,3.06
1993/8/1,3.03
1993/9/1,3.09
1993/10/1,2.99
1993/11/1,3.02
1993/12/1,2.96
1994/1/1,3.05
1994/2/1,3.25
1994/3/1,3.34
1994/4/1,3.56
1994/5/1,4.01
1994/6/1,4.25
1994/7/1,4.26
1994/8/1,4.47
1994/9/1,4.73
1994/10/1,4.76
1994/11/1,5.29
1994/12/1,5.45
1995/1/1,5.53
1995/2/1,5.92
1995/3/1,5.98
1995/4/1,6.05
1995/5/1,6.01
1995/6/1,6
1995/7/1,5.85
1995/8/1,5.74
1995/9/1,5.8
1995/10/1,5.76
1995/11/1,5.8
1995/12/1,5.6
1996/1/1,5.56
1996/2/1,5.22
1996/3/1,5.31
1996/4/1,5.22
1996/5/1,5.24
1996/6/1,5.27
1996/7/1,5.4
1996/8/1,5.22
1996/9/1,5.3
1996/10/1,5.24
1996/11/1,5.31
1996/12/1,5.29
1997/1/1,5.25
1997/2/1,5.19
1997/3/1,5.39
1997/4/1,5.51
1997/5/1,5.5
1997/6/1,5.56
1997/7/1,5.52
1997/8/1,5.54
1997/9/1,5.54
1997/10/1,5.5
1997/11/1,5.52
1997/12/1,5.5
1998/1/1,5.56
1998/2/1,5.51
1998/3/1,5.49
1998/4/1,5.45
1998/5/1,5.49
1998/6/1,5.56
1998/7/1,5.54
1998/8/1,5.55
1998/9/1,5.51
1998/10/1,5.07
1998/11/1,4.83
1998/12/1,4.68
1999/1/1,4.63
1999/2/1,4.76
1999/3/1,4.81
1999/4/1,4.74
1999/5/1,4.74
1999/6/1,4.76
1999/7/1,4.99
1999/8/1,5.07
1999/9/1,5.22
1999/10/1,5.2
1999/11/1,5.42
1999/12/1,5.3
2000/1/1,5.45
2000/2/1,5.73
2000/3/1,5.85
2000/4/1,6.02
2000/5/1,6.27
2000/6/1,6.53
2000/7/1,6.54
2000/8/1,6.5
2000/9/1,6.52
2000/10/1,6.51
2000/11/1,6.51
2000/12/1,6.4
2001/1/1,5.98
2001/2/1,5.49
2001/3/1,5.31
2001/4/1,4.8
2001/5/1,4.21
2001/6/1,3.97
2001/7/1,3.77
2001/8/1,3.65
2001/9/1,3.07
2001/10/1,2.49
2001/11/1,2.09
2001/12/1,1.82
2002/1/1,1.73
2002/2/1,1.74
2002/3/1,1.73
2002/4/1,1.75
2002/5/1,1.75
2002/6/1,1.75
2002/7/1,1.73
2002/8/1,1.74
2002/9/1,1.75
2002/10/1,1.75
2002/11/1,1.34
2002/12/1,1.24
2003/1/1,1.24
2003/2/1,1.26
2003/3/1,1.25
2003/4/1,1.26
2003/5/1,1.26
2003/6/1,1.22
2003/7/1,1.01
2003/8/1,1.03
2003/9/1,1.01
2003/10/1,1.01
2003/11/1,1
2003/12/1,0.98
2004/1/1,1
2004/2/1,1.01
2004/3/1,1
2004/4/1,1
2004/5/1,1
2004/6/1,1.03
2004/7/1,1.26
2004/8/1,1.43
2004/9/1,1.61
2004/10/1,1.76
2004/11/1,1.93
2004/12/1,2.16
2005/1/1,2.28
2005/2/1,2.5
2005/3/1,2.63
2005/4/1,2.79
2005/5/1,3
2005/6/1,3.04
2005/7/1,3.26
2005/8/1,3.5
2005/9/1,3.62
2005/10/1,3.78
2005/11/1,4
2005/12/1,4.16
2006/1/1,4.29
2006/2/1,4.49
2006/3/1,4.59
2006/4/1,4.79
2006/5/1,4.94
2006/6/1,4.99
2006/7/1,5.24
2006/8/1,5.25
2006/9/1,5.25
2006/10/1,5.25
2006/11/1,5.25
2006/12/1,5.24
2007/1/1,5.25
2007/2/1,5.26
2007/3/1,5.26
2007/4/1,5.25
2007/5/1,5.25
2007/6/1,5.25
2007/7/1,5.26
2007/8/1,5.02
2007/9/1,4.94
2007/10/1,4.76
2007/11/1,4.49
2007/12/1,4.24
2008/1/1,3.94
2008/2/1,2.98
2008/3/1,2.61
2008/4/1,2.28
2008/5/1,1.98
2008/6/1,2
2008/7/1,2.01
2008/8/1,2
2008/9/1,1.81
2008/10/1,0.97
2008/11/1,0.39
2008/12/1,0.16
2009/1/1,0.15
2009/2/1,0.22
